Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Attend.,Attend./G
Milwaukee Bucks,26.9,10,4,11,3,10.86,2.38,13.24,116.1,105.7,103.4,0.241,0.437,0.597,0.565,13,23,0.189,0.502,11,80.5,0.163,119750,17107
Portland Trail Blazers,26.2,10,4,10,4,8.36,1.43,9.79,115.3,107,99.8,0.258,0.355,0.574,0.528,12.3,26.7,0.223,0.488,10.1,77.1,0.172,175329,19481
Golden State Warriors,28,12,3,11,4,9.73,-1,8.74,118.9,109.3,100.8,0.253,0.337,0.615,0.58,13,23.5,0.207,0.511,11.6,78.2,0.21,176364,19596
Los Angeles Clippers,27.9,8,5,8,5,4.62,2.65,7.27,112.8,108.4,101.7,0.33,0.288,0.581,0.529,12.7,21.3,0.273,0.486,10.4,76.3,0.224,119642,17092
Toronto Raptors,27.3,12,3,11,4,7.33,-0.93,6.4,114.7,107.5,101.5,0.242,0.372,0.582,0.549,12.2,24.9,0.19,0.503,12.8,75,0.181,178315,19813
Denver Nuggets,24.6,9,5,9,5,5.21,0.51,5.72,112.2,106.8,96.5,0.281,0.324,0.552,0.515,12.2,27.8,0.209,0.526,13.4,79.9,0.203,162364,18040
Oklahoma City Thunder,25.4,9,5,9,5,5.07,-0.71,4.36,109.6,104.6,101.2,0.286,0.336,0.536,0.503,11.9,28.3,0.202,0.508,15.8,77.1,0.226,145624,18203
Boston Celtics,25.8,8,6,9,5,3.64,0.53,4.17,105.8,102.2,99,0.212,0.415,0.536,0.504,11.6,20.7,0.166,0.489,13.4,79.1,0.181,93120,18624
Charlotte Hornets,26.8,7,7,9,5,5.14,-2.48,2.67,114.1,109,99.7,0.24,0.376,0.561,0.524,10.4,22.8,0.192,0.517,13,75.7,0.202,91985,15331
New Orleans Pelicans,26.6,7,7,8,6,1.21,1.19,2.4,112.5,111.4,104,0.29,0.301,0.567,0.533,12.8,25.8,0.213,0.524,11.5,79,0.21,95343,15891
Indiana Pacers,26.9,8,6,8,6,2.71,-0.62,2.1,109.4,106.6,96.7,0.251,0.29,0.562,0.537,12.6,20.1,0.176,0.518,14.5,77.4,0.203,99392,16565
Los Angeles Lakers,26.6,8,6,8,6,1.29,0.74,2.02,111.2,110,104.4,0.237,0.326,0.565,0.54,13,23.9,0.168,0.52,13.1,74.1,0.19,134876,16860
Memphis Grizzlies,28,8,5,7,6,1.31,-0.35,0.96,107.3,105.9,95.2,0.314,0.339,0.552,0.51,12,18,0.237,0.529,16.3,75.9,0.219,93264,15544
Utah Jazz,26.6,7,7,6,8,-1.57,1.55,-0.02,108.5,110.1,98.9,0.345,0.392,0.56,0.519,13.6,22.7,0.252,0.538,13.2,79.8,0.211,109836,18306
Sacramento Kings,24.4,8,6,7,7,-1,0.69,-0.31,108.7,109.7,105.3,0.259,0.293,0.562,0.538,12.3,20.6,0.175,0.522,13.8,74.9,0.208,114131,16304
Philadelphia 76ers,25.5,9,7,8,8,-0.5,0.14,-0.37,108.1,108.6,101.9,0.323,0.377,0.562,0.517,13.8,22.5,0.251,0.494,10.1,79.5,0.204,142033,20290
Houston Rockets,29.5,6,7,5,8,-3.54,2.34,-1.2,107.3,111,96.2,0.265,0.487,0.538,0.506,12.2,23.4,0.188,0.531,13.4,78.4,0.242,90275,18055
San Antonio Spurs,29.7,7,6,6,7,-0.54,-0.78,-1.32,108.6,109.2,97.6,0.252,0.275,0.541,0.498,11.3,23.1,0.207,0.531,12.1,78.8,0.155,128713,18388
Miami Heat,27,6,8,7,7,0.21,-1.59,-1.37,109.4,109.2,101.2,0.308,0.369,0.552,0.516,13.8,26,0.222,0.508,11.6,75.8,0.221,156800,19600
Dallas Mavericks,26.4,6,8,8,6,1.43,-2.87,-1.44,109.5,108.1,100.3,0.289,0.39,0.573,0.537,15.2,23.5,0.219,0.529,13.8,79.3,0.209,137498,19643
Minnesota Timberwolves,27,6,9,5,10,-5.27,2.53,-2.74,109.4,114.6,101.4,0.272,0.326,0.541,0.495,11.7,24.5,0.223,0.532,12.7,69.9,0.18,96562,13795
Detroit Pistons,27.4,7,6,6,7,-0.92,-1.86,-2.79,105.9,106.8,101.2,0.268,0.371,0.523,0.486,12,25.7,0.197,0.518,13,81.6,0.229,98047,16341
Brooklyn Nets,25.6,6,9,7,8,-1.73,-1.12,-2.85,110.2,111.9,98.3,0.251,0.384,0.545,0.517,12.3,25.6,0.178,0.517,12.5,73.2,0.238,88482,14747
Orlando Magic,25.8,7,8,6,9,-4.13,0.26,-3.87,105.6,109.8,98.8,0.192,0.352,0.532,0.504,11.5,21,0.145,0.528,13.2,76.8,0.191,146595,16288
Washington Wizards,27.4,5,9,5,9,-5.29,0.57,-4.72,108.9,114.1,101.7,0.318,0.377,0.561,0.517,12.7,20.2,0.245,0.542,14.1,72.1,0.216,103565,17261
New York Knicks,23.6,4,11,5,10,-6.53,-0.62,-7.15,105.8,112.3,99,0.259,0.318,0.523,0.482,12.6,26.1,0.201,0.543,13.9,74.8,0.213,134628,19233
Chicago Bulls,23.9,4,11,4,11,-7.93,-0.5,-8.43,103.4,111.3,98.8,0.244,0.332,0.541,0.505,13.4,17.2,0.189,0.516,11.8,74.5,0.196,161289,20161
Phoenix Suns,25.6,3,11,3,11,-11.14,2.37,-8.78,102.8,114,98.7,0.244,0.373,0.556,0.517,16.2,19.2,0.197,0.54,12.2,76.6,0.226,123451,15431
Cleveland Cavaliers,26.6,2,12,4,10,-8.43,-1.73,-10.16,105.5,114.1,97.9,0.245,0.267,0.537,0.497,13.9,27.2,0.196,0.551,12.7,78,0.186,136024,19432
Atlanta Hawks,25.9,3,11,4,10,-8.86,-2.5,-11.35,103.4,111.8,105.3,0.272,0.397,0.55,0.517,15.3,20.7,0.199,0.538,13.8,75.2,0.218,87823,14637
League Average,26.5,,,7,7,0,0,0,109.4,109.4,100.2,0.267,0.352,0.556,0.52,12.8,23.2,0.204,0.52,12.8,76.8,0.204,124704,17647